Management Area,Year,Quarter,Total Visits,Full Day,Part Day,Exempt,Scenic Flights,Coral Viewing
Cairns/Cooktown Management Area,2025,Oct-Dec 2025,269407,171779,24535,12153,11046,49894
Far Northern Management Area,2025,Oct-Dec 2025,3387,1356,0,2021,0,0
Mackay/Capricorn Management Area,2025,Oct-Dec 2025,49238,26280,5619,15935,0,1404
Townsville/Whitsunday Management Area,2025,Oct-Dec 2025,307418,208592,35922,31125,25742,6037
Cairns/Cooktown Management Area,2025,Jul-Sep 2025,296132,181765,31666,11299,9275,62127
Far Northern Management Area,2025,Jul-Sep 2025,1601,1155,122,324,0,0
Mackay/Capricorn Management Area,2025,Jul-Sep 2025,47189,23393,5394,16615,0,1787
Townsville/Whitsunday Management Area,2025,Jul-Sep 2025,300776,200935,34004,37637,20134,8066
Cairns/Cooktown Management Area,2025,Apr-Jun 2025,210534,139016,17333,8207,7438,38540
Far Northern Management Area,2025,Apr-Jun 2025,1370,1104,53,213,0,0
Mackay/Capricorn Management Area,2025,Apr-Jun 2025,40974,20699,4110,15269,0,896
Townsville/Whitsunday Management Area,2025,Apr-Jun 2025,236304,164679,25809,25103,15238,5475
Cairns/Cooktown Management Area,2025,Jan-Mar 2025,208235,140320,15273,6909,7576,38157
Far Northern Management Area,2025,Jan-Mar 2025,562,171,0,382,0,0
Mackay/Capricorn Management Area,2025,Jan-Mar 2025,38412,20276,5522,11965,0,649
Townsville/Whitsunday Management Area,2025,Jan-Mar 2025,239139,171598,26538,20087,15593,5323
Cairns/Cooktown Management Area,2024,Oct-Dec 2024,262701,173879,21684,11052,9777,46309
Far Northern Management Area,2024,Oct-Dec 2024,2933,1700,0,1228,0,0
Mackay/Capricorn Management Area,2024,Oct-Dec 2024,51502,28868,6564,14960,0,1104
Townsville/Whitsunday Management Area,2024,Oct-Dec 2024,296019,202240,36534,31482,19531,6232
Cairns/Cooktown Management Area,2024,Jul-Sep 2024,262428,167319,21499,11308,8798,53504
Far Northern Management Area,2024,Jul-Sep 2024,1205,818,46,341,0,0
Mackay/Capricorn Management Area,2024,Jul-Sep 2024,49490,24304,6328,17487,0,1371
Townsville/Whitsunday Management Area,2024,Jul-Sep 2024,273190,186054,32301,34593,13715,6527
Cairns/Cooktown Management Area,2024,Apr-Jun 2024,205192,136390,13110,8498,7395,39799
Far Northern Management Area,2024,Apr-Jun 2024,1154,887,18,249,0,0
Mackay/Capricorn Management Area,2024,Apr-Jun 2024,40267,18002,7219,14005,0,1041
Townsville/Whitsunday Management Area,2024,Apr-Jun 2024,228932,154828,27718,26381,15716,4289
Cairns/Cooktown Management Area,2024,Jan-Mar 2024,219447,149041,12448,8697,9164,40097
Far Northern Management Area,2024,Jan-Mar 2024,662,288,57,317,0,0
