Year,Quarter,Total Visits,Full Day,Part Day,Exempt,Scenic Flights,Coral Viewing
2025,Oct-Dec 2025,670500,442992,66142,65083,38948,57335
2025,Jul-Sep 2025,656749,410859,72838,68630,32442,71980
2025,Jan-Mar 2025,542044,383363,47898,41804,24850,44129
2025,Apr-Jun 2025,507907,338029,48607,51317,25043,44911
2024,Oct-Dec 2024,667275,454770,64962,62057,31992,53494
2024,Jul-Sep 2024,592188,377287,60633,66217,26649,61402
2024,Jan-Mar 2024,595909,427740,52450,44582,25020,46117
2024,Apr-Jun 2024,484349,315060,48284,51385,24538,45082
2023,Oct-Dec 2023,594971,395870,66243,63102,24258,45498
2023,Jul-Sep 2023,571573,359256,66987,67859,18146,59325
2023,Jan-Mar 2023,451890,302722,73244,37298,13286,25340
2023,Apr-Jun 2023,515177,315136,79863,62109,15078,42991
2022,Oct-Dec 2022,644150,401909,120277,73260,14629,34075
2022,Jul-Sep 2022,591195,367992,94662,72254,12900,43387
2022,Jan-Mar 2022,318332,201691,53911,40125,10057,12548
2022,Apr-Jun 2022,472819,273724,98310,61890,10585,28310
2021,Oct-Dec 2021,305825,173815,69027,44912,5728,12343
2021,Jul-Sep 2021,298967,171651,56970,48599,5521,16226
2021,Jan-Mar 2021,247125,141904,53063,37024,6245,8889
2021,Apr-Jun 2021,400405,227726,84663,58520,7640,21856
2020,Oct-Dec 2020,281575,164114,51598,44055,9262,12546
2020,Jul-Sep 2020,210680,125408,31860,34849,8512,10051
2020,Jan-Mar 2020,445989,320008,39963,45175,13474,27369
2020,Apr-Jun 2020,17625,10393,1731,3620,1805,76
2019,Oct-Dec 2019,689161,458367,65231,83548,25430,56585
2019,Jul-Sep 2019,644288,413036,68491,80322,24264,58175
2019,Jan-Mar 2019,589383,393197,49104,65737,26090,55255
2019,Apr-Jun 2019,481849,317948,44035,57146,16967,45753
2018,Oct-Dec 2018,672830,441757,55805,93854,25978,55436
2018,Jul-Sep 2018,724694,448454,70402,113817,28684,63337
2018,Jan-Mar 2018,673678,452990,52692,69230,34933,63833
2018,Apr-Jun 2018,537747,354770,43787,63904,21374,53912
2017,Oct-Dec 2017,732259,463935,63535,97255,34138,73396
2017,Jul-Sep 2017,708080,449057,66000,93214,30071,69738
2017,Jan-Mar 2017,680875,430734,64254,87697,31228,66962
2017,Apr-Jun 2017,501058,323598,40595,61153,20496,55216
2016,Oct-Dec 2016,780605,489212,71225,116916,30868,72384
2016,Jul-Sep 2016,723864,444080,73850,111451,25140,69343
2016,Jan-Mar 2016,741475,462041,74835,97018,34246,73335
2016,Apr-Jun 2016,546689,330113,56854,79134,18777,61811
