Sector,Sector_Name,Year,Avg_Live_Coral
CA,Cairns,1993,19.04
CB,Capricorn-Bunker,1993,21.1
CG,Cooktown/Lizard Is.,1993,44.44
CL,Central,1993,24.81
CU,Capricorn,1993,15.29
IN,Innisfail,1993,12.42
PC,Princess Charlotte Bay,1993,25.39
PO,Pompey,1993,52.06
SW,Swain,1993,33.45
TO,Townsville,1993,14.76
WH,Whitsunday,1993,32.91
CA,Cairns,1994,15.9
CB,Capricorn-Bunker,1994,19.36
CG,Cooktown/Lizard Is.,1994,37.7
CL,Central,1994,29.98
CU,Capricorn,1994,11.49
IN,Innisfail,1994,18.93
PC,Princess Charlotte Bay,1994,22.94
PO,Pompey,1994,44.88
SW,Swain,1994,27.49
TO,Townsville,1994,23.59
WH,Whitsunday,1994,24.55
CA,Cairns,1995,21.78
CB,Capricorn-Bunker,1995,24.51
CG,Cooktown/Lizard Is.,1995,43.25
CL,Central,1995,22.37
CU,Capricorn,1995,21.08
IN,Innisfail,1995,18.42
PC,Princess Charlotte Bay,1995,19.77
PO,Pompey,1995,43.79
SW,Swain,1995,27.17
TO,Townsville,1995,23.85
WH,Whitsunday,1995,23.07
CA,Cairns,1996,18.07
CB,Capricorn-Bunker,1996,26.84
CG,Cooktown/Lizard Is.,1996,42.65
CL,Central,1996,24.59
CU,Capricorn,1996,17.78
IN,Innisfail,1996,24.49
PC,Princess Charlotte Bay,1996,27.25
PO,Pompey,1996,39.67
SW,Swain,1996,34.83
TO,Townsville,1996,24.4
WH,Whitsunday,1996,26.98
CA,Cairns,1997,22.05
CB,Capricorn-Bunker,1997,31.41
CL,Central,1997,22.68
CU,Capricorn,1997,17.18
IN,Innisfail,1997,22.49
PO,Pompey,1997,46.16
SW,Swain,1997,25.89
TO,Townsville,1997,25.03
WH,Whitsunday,1997,18.93
CA,Cairns,1998,21.96
CB,Capricorn-Bunker,1998,34.45
CG,Cooktown/Lizard Is.,1998,39.7
CL,Central,1998,16.76
CU,Capricorn,1998,19.46
IN,Innisfail,1998,20.69
PC,Princess Charlotte Bay,1998,28.4
PO,Pompey,1998,43.24
SW,Swain,1998,27.97
TO,Townsville,1998,27.41
WH,Whitsunday,1998,21.23
CA,Cairns,1999,18.3
CB,Capricorn-Bunker,1999,43.68
CL,Central,1999,25.5
CU,Capricorn,1999,25.67
IN,Innisfail,1999,13.1
PC,Princess Charlotte Bay,1999,29.46
PO,Pompey,1999,31.17
SW,Swain,1999,28.71
TO,Townsville,1999,22.16
WH,Whitsunday,1999,19.67
CA,Cairns,2000,22.69
CB,Capricorn-Bunker,2000,45.79
CL,Central,2000,25.93
CU,Capricorn,2000,21.28
IN,Innisfail,2000,10.26
PC,Princess Charlotte Bay,2000,28.66
PO,Pompey,2000,36.34
SW,Swain,2000,28.91
TO,Townsville,2000,14.9
WH,Whitsunday,2000,24.69
CA,Cairns,2001,21.27
CB,Capricorn-Bunker,2001,42.77
