Shelf,Shelf_Name,Year,Avg_Live_Coral
I,Inner,1993,25.47
I,Inner,1994,27.37
I,Inner,1995,16.56
I,Inner,1996,23.8
I,Inner,1997,23.46
I,Inner,1998,23.45
I,Inner,1999,18.39
I,Inner,2000,22.14
I,Inner,2001,15.94
I,Inner,2002,16.93
I,Inner,2003,23.66
I,Inner,2004,15.6
I,Inner,2005,22.53
I,Inner,2006,22.49
I,Inner,2007,18.53
I,Inner,2008,20.53
I,Inner,2009,22.64
I,Inner,2010,28.81
I,Inner,2011,27.65
I,Inner,2012,15.77
I,Inner,2013,24.13
I,Inner,2015,6.71
I,Inner,2017,18.82
I,Inner,2019,12.83
I,Inner,2020,13.31
I,Inner,2021,16.2
I,Inner,2022,26.06
I,Inner,2023,23.81
M,Mid-shelf,1993,26.54
M,Mid-shelf,1994,24.84
M,Mid-shelf,1995,27.27
M,Mid-shelf,1996,27.7
M,Mid-shelf,1997,22.11
M,Mid-shelf,1998,25.05
M,Mid-shelf,1999,22.31
M,Mid-shelf,2000,19.98
M,Mid-shelf,2001,20.9
M,Mid-shelf,2002,20.64
M,Mid-shelf,2003,15.94
M,Mid-shelf,2004,20.52
M,Mid-shelf,2005,22.71
M,Mid-shelf,2006,18.02
M,Mid-shelf,2007,17.52
M,Mid-shelf,2008,20.17
M,Mid-shelf,2009,21.73
M,Mid-shelf,2010,17.7
M,Mid-shelf,2011,15.39
M,Mid-shelf,2012,12.68
M,Mid-shelf,2013,21.05
M,Mid-shelf,2014,18.42
M,Mid-shelf,2015,17.96
M,Mid-shelf,2016,25.68
M,Mid-shelf,2017,26.98
M,Mid-shelf,2018,19.04
M,Mid-shelf,2019,18.12
M,Mid-shelf,2020,20.3
M,Mid-shelf,2021,26.67
M,Mid-shelf,2022,31.69
M,Mid-shelf,2023,32.39
O,Outer,1993,25.02
O,Outer,1994,25.49
O,Outer,1995,25.52
O,Outer,1996,26.12
O,Outer,1997,25.15
O,Outer,1998,27.81
O,Outer,1999,29.56
O,Outer,2000,29.86
O,Outer,2001,31.15
O,Outer,2002,27.19
O,Outer,2003,28.21
O,Outer,2004,26.09
O,Outer,2005,28.05
O,Outer,2006,26.65
O,Outer,2007,22.06
O,Outer,2008,22.4
O,Outer,2009,17.2
O,Outer,2010,18.21
O,Outer,2011,12.34
O,Outer,2012,13.6
O,Outer,2013,13.85
O,Outer,2014,19.46
O,Outer,2015,20.58
O,Outer,2016,26.88
O,Outer,2017,22.41
O,Outer,2018,30.53
O,Outer,2019,23.97
O,Outer,2020,29.74
O,Outer,2021,36.1
O,Outer,2022,45.3
O,Outer,2023,40.07
