REEF_ID,REEF_NAME,SECTOR,SECTOR_NAME,SHELF,SHELF_NAME,LATITUDE,LONGITUDE,AVG_LIVE_CORAL,AVG_COTS,SURVEYS
11016S,Mcsweeney Reef,CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.0275,143.251,8.36,0.104,4
11029S,Monsoon Reef,CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.133333,143.258333,13.14,0.071,4
11049S,11049S,CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.358333,143.333333,10.63,0.232,5
11162S,11162S,CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.6,143.291667,19.4,0.016,4
11211S,Pearson Reef,CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.566667,143.716667,20.23,0.0,4
11222S2,Middle Banks (2),CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.763333,143.651667,52.17,0.0,5
11222S3,Middle Banks B (3),CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.771667,143.658333,59.74,0.017,5
11237A,Ashmore Banks (1),CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.885167,143.629333,56.01,0.0,5
11237B,Ashmore Banks (2),CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.88,143.709833,61.86,0.0,5
11237C,Ashmore Banks (3),CG,Cooktown/Lizard Is.,M,Mid-shelf,-11.926667,143.688167,58.85,0.0,5
12027B,Quoin Reef(12027),CG,Cooktown/Lizard Is.,M,Mid-shelf,-12.4,143.533333,23.75,0.0,1
12056S,Mantis Reef,CG,Cooktown/Lizard Is.,O,Outer,-12.275,143.891667,28.64,0.0,5
12061S,Lagoon Reef,CG,Cooktown/Lizard Is.,O,Outer,-12.391667,143.741667,39.76,0.0,5
12071S,12071S,CG,Cooktown/Lizard Is.,O,Outer,-12.483333,143.75,35.3,0.0,3
12098S,Second Small Reef,CG,Cooktown/Lizard Is.,O,Outer,-12.566667,143.775,34.36,0.0,3
12102S,Curd Reef,CG,Cooktown/Lizard Is.,I,Inner,-12.591667,143.55,16.2,0.0,2
12107S,Log Reef (South),CG,Cooktown/Lizard Is.,O,Outer,-12.675,143.841667,26.54,0.0,1
13006S,Osborne Reef,PC,Princess Charlotte Bay,I,Inner,-13.041667,143.625,6.68,0.0,2
13040S,13040S,PC,Princess Charlotte Bay,O,Outer,-13.266667,143.941667,26.41,0.0,3
13056S,Sand Bank No 8 Reef,PC,Princess Charlotte Bay,O,Outer,-13.358333,143.958333,29.09,0.0,3
13063S,13063S,PC,Princess Charlotte Bay,M,Mid-shelf,-13.416667,143.816667,13.35,0.0,1
13093A,13093A,PC,Princess Charlotte Bay,M,Mid-shelf,-13.758333,143.991667,7.11,0.0,1
13108S,Hedge Reef,PC,Princess Charlotte Bay,M,Mid-shelf,-13.908333,143.958333,2.88,0.0,1
13118A,Creech Reef (North),PC,Princess Charlotte Bay,O,Outer,-13.625,144.108333,40.02,0.011,4
13121S,13121S,PC,Princess Charlotte Bay,O,Outer,-13.783333,144.266667,20.07,0.0,3
13124S,13124S,PC,Princess Charlotte Bay,M,Mid-shelf,-13.866667,144.091667,26.44,0.026,5
13127S,Rodda Reef,PC,Princess Charlotte Bay,O,Outer,-13.925,144.366667,39.55,0.0,4
13130S,Davie Reef,PC,Princess Charlotte Bay,O,Outer,-13.975,144.458333,31.91,0.004,5
13133S,Tydeman Reef,PC,Princess Charlotte Bay,O,Outer,-13.983333,144.516667,30.4,0.0,3
14016S,Corbett Reef,PC,Princess Charlotte Bay,M,Mid-shelf,-14.0,144.108333,21.35,0.0,5
14045S,Sand Bank No 1 Reef,PC,Princess Charlotte Bay,O,Outer,-14.191667,144.916667,32.02,0.0,5
14056S,14056S,CL,Central,M,Mid-shelf,-14.325,144.958333,8.25,0.0,1
14075S,14075S,CL,Central,O,Outer,-14.283333,145.175,32.8,0.0,1
14085S,Hilder Reef,CL,Central,O,Outer,-14.441667,145.408333,39.22,0.0,1
14109S,Fly Reef,CL,Central,M,Mid-shelf,-14.5,145.158333,10.87,0.043,1
14114S,Macgillivray Reef,CL,Central,M,Mid-shelf,-14.65,145.491667,20.8,0.012,5
14116S,Lizard Island,CL,Central,M,Mid-shelf,-14.675,145.466667,15.83,0.005,4
14118S,Eyrie Reef,CL,Central,M,Mid-shelf,-14.716667,145.375,29.85,0.0,1
14123S,Martin Reef(14123),CL,Central,I,Inner,-14.766667,145.358333,24.76,0.019,4
14126S,Linnet Reef,CL,Central,I,Inner,-14.783333,145.341667,22.01,0.017,5
14135S,Helsdon Reef,CL,Central,M,Mid-shelf,-14.95,145.491667,27.71,0.0,1
14137S,Carter Reef,CL,Central,O,Outer,-14.55,145.583333,21.61,0.0,4
14138S,Yonge Reef,CL,Central,O,Outer,-14.6,145.625,23.66,0.0,4
14139S,No Name Reef,CL,Central,O,Outer,-14.65,145.65,19.75,0.0,5
14143S,North Direction Reef,CL,Central,M,Mid-shelf,-14.741667,145.508333,38.07,0.0,4
14147A,South Direction Reef (North),CL,Central,M,Mid-shelf,-14.825,145.525,26.28,0.0,1
14152S,No 10 Patches (No 2),CL,Central,O,Outer,-14.933333,145.683333,33.86,0.0,1
