Year,Full Day,Part Day,Exempt,Scenic Flights,Coral Viewing,Total Visits
2016,1725446,276764,404519,109031,276873,2792633
2017,1667324,234384,339319,115933,265312,2622272
2018,1697971,222686,340805,110969,236518,2608949
2019,1582548,226861,286753,92751,215768,2404681
2020,619923,125152,127699,33053,50042,955869
2021,715096,263723,189055,25134,59314,1252322
2022,1245316,367160,247529,48171,118320,2026496
2023,1372984,286337,230368,70768,173154,2133611
2024,1574857,226329,224241,108199,206095,2339721
2025,1575243,235485,226834,121283,218355,2377200
